Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Gelcich S., Hughes T.P., Olsson P., Folke C., Defeo O., Fernández M., Foale S., Gunderson L.H., Rodríguez-Sickert C., Scheffer M., Steneck R.S., Castilla J.C.","8563637100;7401459068;34572074500;7006090884;7004144747;7403378385;6602104487;7101765205;13404325900;7004818551;6701822254;7102102550;","Navigating transformations in governance of Chilean marine coastal resources",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","39",,"16794","16799",,396,"10.1073/pnas.1012021107",2-s2.0-78049276265
"Gerhardinger L.C., Andrade M.M.D., Corrêa M.R., Turra A.","8269760500;57218384882;57214183483;6603778221;","Crafting a sustainability transition experiment for the brazilian blue economy",2020,"Marine Policy","120",,"104157","","",,15,"10.1016/j.marpol.2020.104157",2-s2.0-85089031097
"Gillard R., Gouldson A., Paavola J., Van Alstine J.","57086133800;6602736479;7004107473;26535122900;","Transformational responses to climate change: Beyond a systems perspective of social change in mitigation and adaptation",2016,"Wiley Interdisciplinary Reviews: Climate Change","7","2",,"251","265",,146,"10.1002/wcc.384",2-s2.0-84958543005
"Göpel M.","","The Great Mindshift: How a New Economic Paradigm and Sustainability Transformations Go Hand in Hand",2016,"The Great Mindshift",,,,"","",,138,,2-s2.0-84994190013
"Haas B., Mackay M., Novaglio C., Fullbrook L., Murunga M., Sbrocchi C., McDonald J., McCormack P.C., Alexander K., Fudge M., Goldsworthy L., Boschetti F., Dutton I., Dutra L., McGee J., Rousseau Y., Spain E., Stephenson R., Vince J., Wilcox C., Haward M.","57205388314;57201986091;57191156634;57734419900;57191897877;57201701066;23392983400;56100264700;54891661500;57204425051;57191043960;7003836948;6602374559;53663326500;36834936500;57209394695;57215901012;57211465543;17342896600;7203060884;6603547819;","The future of ocean governance",2022,"Reviews in Fish Biology and Fisheries","32","1",,"253","270",,31,"10.1007/s11160-020-09631-x",2-s2.0-85099390552
"Hausknost D.","16315929100;","The environmental state and the glass ceiling of transformation",2020,"Environmental Politics","29","1",,"17","37",,57,"10.1080/09644016.2019.1680062",2-s2.0-85069873322
"Hausknost D., Hammond M.","16315929100;57205845161;","Beyond the environmental state? The political prospects of a sustainability transformation",2020,"Environmental Politics","29","1",,"1","16",,28,"10.1080/09644016.2020.1686204",2-s2.0-85076017202
"Hölscher K., Wittmayer J.M., Loorbach D.","57194382927;36660208600;24450788200;","Transition versus transformation: What's the difference?",2018,"Environmental Innovation and Societal Transitions","27",,,"1","3",,157,"10.1016/j.eist.2017.10.007",2-s2.0-85048463694
"Hulme M.","",[No title available],2009,"Why We Disagree About Climate Change",,,,"","",,1908,,2-s2.0-67651012895
"Hysing E., Lidskog R.","8669059400;6701835750;","Do Conceptual Innovations Facilitate Transformative Change? The Case of Biodiversity Governance",2021,"Frontiers in Ecology and Evolution","8",,"612211","","",,6,"10.3389/fevo.2020.612211",2-s2.0-85100942378
[No author name available],[No author id available],[No title available],2019,,,,,"","",,,,2-s2.0-85161320829
"Jouffray J.-B., Blasiak R., Norström A.V., Österblom H., Nyström M.","56426424000;56149946000;16022849300;6505898338;7103090110;","The Blue Acceleration: The Trajectory of Human Expansion into the Ocean",2020,"One Earth","2","1",,"43","54",,217,"10.1016/j.oneear.2019.12.016",2-s2.0-85085082584
"Kates R.W., Travis W.R., Wilbanks T.J.","7006599903;7102772438;6701860531;","Transformational adaptation when incremental adaptations to climate change are insufficient",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","19",,"7156","7161",,795,"10.1073/pnas.1115521109",2-s2.0-84860803106
"Kelly C., Ellis G., Flannery W.","56038757300;57189018678;23979784100;","Conceptualising change in marine governance: Learning from Transition Management",2018,"Marine Policy","95",,,"24","35",,53,"10.1016/j.marpol.2018.06.023",2-s2.0-85049439953
